id,name,deep_link,compartment_id,description,lifecycle_state,statements,extract_date
ocid1.policy.oc1..aaaaaaaalx2imx7spfx3maa3a7tnnxtqvuoqbmisk53huurztlp5o57vlawa,arcs-prod-admin-policies,"=HYPERLINK(""https://cloud.oracle.com/identity/policies/ocid1.policy.oc1..aaaaaaaalx2imx7spfx3maa3a7tnnxtqvuoqbmisk53huurztlp5o57vlawa"",""arcs-prod-admin-policies"")",ocid1.tenancy.oc1..aaaaaaaalmgnna3x4zje3z2373atkihy4oqit5uml24yt7tdyrew3fw3vrlq,ARCS production administrator policies,ACTIVE,"['Allow group ARCS-Prod-Admins to manage epm-planning-environment-family in compartment SaaS-Root:ARCS:ARCS-Prod', 'Allow group ARCS-Prod-Admins to read all-resources in compartment SaaS-Root:ARCS:ARCS-Prod', ""Allow group ARCS-Prod-Admins to manage object-family in compartment SaaS-Root:ARCS:ARCS-Prod where target.bucket.name = 'arcs-prod-*'""]",2025-10-07T08:27:39
ocid1.policy.oc1..aaaaaaaakffzgfnf7sd3v5gzzbqh2pbapg24gf5xzef3smnlvy4fcaccoxba,arcs-test-admin-policies,"=HYPERLINK(""https://cloud.oracle.com/identity/policies/ocid1.policy.oc1..aaaaaaaakffzgfnf7sd3v5gzzbqh2pbapg24gf5xzef3smnlvy4fcaccoxba"",""arcs-test-admin-policies"")",ocid1.tenancy.oc1..aaaaaaaalmgnna3x4zje3z2373atkihy4oqit5uml24yt7tdyrew3fw3vrlq,ARCS test administrator policies,ACTIVE,"['Allow group ARCS-Test-Admins to manage epm-planning-environment-family in compartment SaaS-Root:ARCS:ARCS-Test', 'Allow group ARCS-Test-Admins to read all-resources in compartment SaaS-Root:ARCS:ARCS-Test', ""Allow group ARCS-Test-Admins to manage object-family in compartment SaaS-Root:ARCS:ARCS-Test where target.bucket.name = 'arcs-test-*'""]",2025-10-07T08:27:39
ocid1.policy.oc1..aaaaaaaacfrfwderdczy47symkq6pvr6uqn34kjmqjwg4couwc42h4hpoxmq,admin-tenancy-policies,"=HYPERLINK(""https://cloud.oracle.com/identity/policies/ocid1.policy.oc1..aaaaaaaacfrfwderdczy47symkq6pvr6uqn34kjmqjwg4couwc42h4hpoxmq"",""admin-tenancy-policies"")",ocid1.tenancy.oc1..aaaaaaaalmgnna3x4zje3z2373atkihy4oqit5uml24yt7tdyrew3fw3vrlq,Administrator policies for tenancy management,ACTIVE,['Allow group Administrators to manage all-resources in tenancy'],2025-10-07T08:27:39
